date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
12/12/2012;5448;3.91711;378;378;2363;0;1293;67;68;12;0;0;0;0
12/13/2012;2341;1.67096;198;198;2129;0;1345;60;34;1;0;0;0;0
12/14/2012;4889;3.51519;399;399;2391;0;1253;113;70;4;0;0;0;0
12/15/2012;10686;7.68323;657;657;2726;0;1255;56;66;63;0;0;0;0
12/16/2012;12617;9.04574;778;778;2884;0;1223;72;73;72;0;0;0;0
12/17/2012;10907;7.75226;692;692;2771;0;1224;80;87;49;0;0;0;0
12/18/2012;10476;7.53224;650;650;2717;0;1245;65;71;59;0;0;0;0
12/19/2012;17212;12.35961;1035;1035;3217;0;1158;69;121;92;0;0;0;0
12/20/2012;18027;12.96141;1109;1109;3314;0;1121;106;125;88;0;0;0;0
12/21/2012;17466;12.55805;1042;1042;3226;0;1167;66;105;102;0;0;0;0
12/22/2012;7711;5.54421;552;552;2589;0;1225;108;91;16;0;0;0;0
12/23/2012;10756;7.73356;720;720;2808;0;1195;114;93;38;0;0;0;0
12/24/2012;7397;5.31844;525;525;2554;0;1245;108;59;28;0;0;0;0
12/25/2012;7077;5.08836;493;493;2513;0;1254;94;71;21;0;0;0;0
12/26/2012;9033;6.49473;562;562;2603;0;1277;56;53;54;0;0;0;0
12/27/2012;4030;2.89757;305;305;2269;0;1312;76;40;12;0;0;0;0
12/28/2012;8503;6.11366;603;603;2656;0;1208;126;79;27;0;0;0;0
12/29/2012;16108;11.58165;1028;1028;3209;0;1104;114;164;58;0;0;0;0
12/30/2012;16160;11.56296;1019;1019;3197;0;1132;104;129;75;0;0;0;0
12/31/2012;14756;10.54342;918;918;3065;0;1151;81;155;53;0;0;0;0
1/1/2013;7364;5.29471;542;542;2576;0;1214;122;91;13;0;0;0;0
1/2/2013;6315;4.54049;425;425;2425;0;1297;72;38;33;0;0;0;0
1/3/2013;6593;4.73246;431;431;2432;0;1300;61;50;29;0;0;0;0
1/4/2013;16336;11.74127;991;991;3160;0;1173;76;99;92;0;0;0;0
1/5/2013;12801;9.20392;815;815;2931;0;1194;100;73;73;0;0;0;0
1/6/2013;8709;6.26177;504;504;2527;0;1331;18;21;70;0;0;0;0
1/7/2013;8505;6.1151;542;542;2577;0;1275;62;60;43;0;0;0;0
1/8/2013;10011;7.19791;602;602;2655;0;1283;45;47;65;0;0;0;0
1/9/2013;6890;4.95391;448;448;2455;0;1301;60;39;40;0;0;0;0
1/10/2013;10048;7.22451;605;605;2659;0;1285;42;45;68;0;0;0;0
1/11/2013;16011;11.51191;969;969;3132;0;1186;70;83;101;0;0;0;0
1/12/2013;30001;21.57072;1732;1732;4123;0;1067;60;88;225;0;0;0;0
1/13/2013;5058;3.6367;295;295;2255;1523;1372;17;13;38;0;0;0;0
1/14/2013;10548;7.57467;636;636;2699;0;1282;47;39;72;0;0;0;0
1/15/2013;10210;7.34099;592;592;2642;0;1311;24;27;78;0;0;0;0
1/16/2013;10420;7.49198;627;627;2687;0;1289;43;32;76;0;0;0;0
1/17/2013;20299;14.59498;1052;1052;3239;0;1197;32;51;160;0;0;0;0
1/18/2013;15420;11.08698;904;904;3047;0;1235;45;43;117;0;0;0;0
1/19/2013;19713;14.17365;1181;1181;3407;0;1164;80;51;145;0;0;0;0
1/20/2013;5392;3.87685;368;368;2369;0;1292;76;56;16;0;0;0;0
1/21/2013;7778;5.62546;476;476;2510;0;1296;51;45;48;0;0;0;0
1/22/2013;9122;6.55872;539;539;2593;0;1298;47;35;60;0;0;0;0
1/23/2013;9179;6.5997;520;520;2568;0;1325;28;11;76;0;0;0;0
1/24/2013;8470;6.08993;499;499;2540;0;1304;36;50;50;0;0;0;0
1/25/2013;12862;9.24778;713;713;2821;0;1294;18;26;102;0;0;0;0
1/26/2013;17504;12.58538;816;816;2956;0;1241;28;31;140;0;0;0;0
1/27/2013;21780;15.65982;1248;1248;3495;0;1210;23;29;178;0;0;0;0
1/28/2013;8155;5.86345;519;519;2547;0;1298;48;47;47;0;0;0;0
1/29/2013;10002;7.19144;588;588;2637;0;1323;16;20;81;0;0;0;0
1/30/2013;8950;6.43074;550;550;2587;0;1309;38;30;63;0;0;0;0
1/31/2013;15477;11.12796;928;928;3078;0;1235;48;39;118;0;0;0;0
2/1/2013;12224;8.78906;725;725;2814;0;1267;34;65;74;0;0;0;0
2/2/2013;16910;12.15829;969;969;3132;0;1258;17;22;143;0;0;0;0
2/3/2013;8802;6.39478;582;582;2628;0;1243;56;120;21;0;0;0;0
2/4/2013;9496;6.82762;560;560;2600;0;1307;21;45;67;0;0;0;0
2/5/2013;5850;4.20615;361;361;2341;0;1348;27;26;39;0;0;0;0
2/6/2013;10295;7.40211;648;648;2714;0;750;126;102;19;359;334;17;4
2/7/2013;8883;6.38688;564;564;2605;0;723;130;92;15;371;320;44;12
2/8/2013;12045;8.66035;711;711;2796;0;756;136;102;32;444;407;34;11
